cct,nombre,turno,nivel,subnivel,detalle,matricula,docentes,p_de_apoyo,calle,numero,entre_calle,y_calle,colonia,municipio,localidad,ambito,zona_esc,sector,latitud,longitud
26DPR0420O,ESTADO DE OAXACA,MATUTINO,BÁSICA,PRIMARIA,GENERAL,267,8,1,CALLE DE LAS AMERICAS,0,CALLE MASOCAMBO,CALLE MASOCAMBO,LA HUERTA,HERMOSILLO,HERMOSILLO,URBANO,84,7,29.09004,-110.972129
26DPR0421N,SUAVE PATRIA,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,378,11,1,CALLE SIMON MORUA,0,CALLE JUVENTINO ROSAS,CALLE JUVENTINO ROSAS,BRISAS DEL MAR,PUERTO PEÑASCO,PUERTO PEÑASCO,URBANO,34,8,31.320422,-113.524341
26DPR0423L,IGNACIO ALLENDE,MATUTINO,BÁSICA,PRIMARIA,GENERAL,177,7,1,CALLE 23,0,CALLE X,CALLE X,EL MIRADOR,GUAYMAS,HEROICA GUAYMAS,URBANO,82,5,27.8878,-110.889559
26DPR0424K,GENERAL PLUTARCO E CALLES,MATUTINO,BÁSICA,PRIMARIA,GENERAL,28,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,INSURGENTES DE PUEBLO YAQUI,RURAL,49,2,26.388611,-109.12
26DPR0425J,NIÑOS HEROES,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,94,5,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,SAN IGNACIO RIO MUERTO,BAHIA DE LOBOS,URBANO,8,3,27.348651,-110.454735
26DPR0428G,ACAMAPICHTLI,MATUTINO,BÁSICA,PRIMARIA,GENERAL,313,13,1,CALLE AGUSTIN LARA,0,CALLE PASCUAL OROZCO,CALLE PASCUAL OROZCO,CAJEME,CAJEME,CIUDAD OBREGON,URBANO,14,3,27.51688,-109.917527
26DPR0430V,LEONA VICARIO,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,261,15,0,CALLE AGUSTIN LARA,0,CALLE PASCUAL OROZCO,CALLE PASCUAL OROZCO,CAJEME,CAJEME,CIUDAD OBREGON,URBANO,14,3,27.51688,-109.917527
26DPR0431U,GENERAL LAZARO CARDENAS,MATUTINO,BÁSICA,PRIMARIA,GENERAL,38,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,EL CHAPOTE,RURAL,73,1,27.044521,-109.583337
26DPR0433S,RAFAEL RAMIREZ,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,126,6,1,CALLE BENITO JUAREZ GARCIA,0,CALLE JOSE MARIA GUTIERREZ,CALLE JOSE MARIA GUTIERREZ,NINGUNO,SAN IGNACIO RIO MUERTO,SAN IGNACIO RIO MUERTO,URBANO,8,3,27.409047,-110.247215
26DPR0435Q,LEONA VICARIO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,295,15,1,CALLE DOS,0,CALLE BACOACHI,CALLE BACOACHI,4 OLIVOS,HERMOSILLO,HERMOSILLO,URBANO,40,7,29.12908,-110.958742
26DPR0436P,NICOLAS BRAVO,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,178,8,1,CALLE SONORA,0,CALLE CRISANTO BUITIMEA,CALLE CRISANTO BUITIMEA,NINGUNO,ETCHOJOA,BUAYSIACOBE,URBANO,55,14,27.062652,-109.687204
26DPR0437O,HERMANOS FLORES MAGON,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,23,2,0,CALLE SAN JACINTO,0,CALLE BENITO JUAREZ GARCIA,CALLE BENITO JUAREZ GARCIA,NINGUNO,CAJEME,MARTE R. GOMEZ (TOBARITO),URBANO,53,14,27.369872,-109.886923
26DPR0439M,ADOLFO LOPEZ MATEOS,MATUTINO,BÁSICA,PRIMARIA,GENERAL,20,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ALAMOS,EL TEZAL,RURAL,28,2,27.048611,-108.967778
26DPR0444Y,CUAUHTEMOC,MATUTINO,BÁSICA,PRIMARIA,GENERAL,69,3,0,CALLE ALVARO OBREGON,23,CALLE MIGUEL HIDALGO,CALLE MIGUEL HIDALGO,CUCURPE CENTRO,CUCURPE,CUCURPE,URBANO,9,13,30.330498,-110.706336
26DPR0445X,EMILIANO ZAPATA,MATUTINO,BÁSICA,PRIMARIA,GENERAL,18,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,"COLORADA, LA",COBACHI,RURAL,39,6,28.896389,-110.2475
26DPR0446W,LAZARO CARDENAS NUM. 3,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,153,6,1,CALLE EMILIANO ZAPATA,0,CALLE 1400 (LAZARO CARDENAS DEL RIO),CALLE 1400 (LAZARO CARDENAS DEL RIO),NINGUNO,CAJEME,QUETCHEHUECA,URBANO,16,14,27.262464,-109.947714
26DPR0448U,NICOLAS BRAVO,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,156,7,1,CALLE LAZARO CARDENAS DEL RIO B,0,CALLE 9,CALLE 9,DEL BOSQUE,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO,URBANO,83,10,32.442556,-114.786885
26DPR0452G,MIGUEL HIDALGO Y COSTILLA,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,151,7,1,CALLE MIGUEL HIDALGO,0,CALLE BUENA VISTA,CALLE BUENA VISTA,NINGUNO,CAJEME,MARTE R. GOMEZ (TOBARITO),URBANO,53,14,27.367448,-109.898143
26DPR0453F,RICARDO FLORES MAGON,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,132,5,1,CALLE JOSE ABRAHAM MENDIVIL,0,CALLE SOLIDARIDAD,CALLE SOLIDARIDAD,PRIMERO HERMOSILLO,HERMOSILLO,HERMOSILLO,URBANO,93,12,29.131629,-110.996472
26DPR0455D,20 DE NOVIEMBRE,MATUTINO,BÁSICA,PRIMARIA,GENERAL,30,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HERMOSILLO,SANTA EMILIA,RURAL,4,6,29.150833,-110.79
26DPR0456C,REVOLUCION,MATUTINO,BÁSICA,PRIMARIA,GENERAL,159,7,1,CALLE ROMA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HERMOSILLO,SAN PEDRO O EL SAUCITO (SAN PEDRO EL SAUCITO),URBANO,4,6,29.182222,-110.881667
26DPR0457B,NARCISO MENDOZA,MATUTINO,BÁSICA,PRIMARIA,GENERAL,319,13,1,CALLE PILARES,0,CALLE CERRO DE ORO,CALLE CERRO DE ORO,SAN LUIS,HERMOSILLO,HERMOSILLO,URBANO,51,12,29.119686,-110.96164
26DPR0458A,JOSE VASCONCELOS,MATUTINO,BÁSICA,PRIMARIA,GENERAL,225,10,1,CALLE JALISCO,0,CALLE PROFESOR ADALBERTO L. SALCIDO,CALLE PROFESOR ADALBERTO L. SALCIDO,MUNICIPIO LIBRE,CAJEME,CIUDAD OBREGON,URBANO,44,4,27.47435,-109.929156
26DPR0461O,JUSTO SIERRA MENDEZ,MATUTINO,BÁSICA,PRIMARIA,GENERAL,63,3,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,CABORCA,JOSE MARIA MORELOS,RURAL,61,8,30.808611,-112.683333
26DPR0462N,HIMNO NACIONAL MEXICANO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,89,5,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,CABORCA,DESEMBOQUE,RURAL,106,8,30.568333,-113.006667
26DPR0463M,SALVADOR ALVARADO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,65,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,CABORCA,SANTA EDUWIGES (LA CACHORA),RURAL,61,8,30.771377,-112.527479
26DPR0464L,HEROE DE NACOZARI,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,282,13,1,CALLE 28 (INDEPENDENCIA),0,CALLE CUAUHTEMOC,CALLE CUAUHTEMOC,JOSE LOPEZ PORTILLO,PUERTO PEÑASCO,PUERTO PEÑASCO,URBANO,97,8,31.328565,-113.538637
26DPR0466J,MIGUEL HIDALGO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,357,15,2,CIRCUNVALACIÓN HEROES,340,NINGUNO NINGUNO,NINGUNO NINGUNO,HEROES,NOGALES,HEROICA NOGALES,URBANO,2,9,31.326726,-110.938569
26DPR0467I,JOSE MA MORELOS Y PAVON,MATUTINO,BÁSICA,PRIMARIA,GENERAL,342,14,1,CALLE VIA DE BEIRA,413,CAMINO HERMOSO,CAMINO HERMOSO,LOMAS DE FATIMA,NOGALES,HEROICA NOGALES,URBANO,10,9,31.32426,-110.959373
26DPR0472U,GENERAL LAZARO CARDENAS,MATUTINO,BÁSICA,PRIMARIA,GENERAL,167,6,1,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GENERAL PLUTARCO ELIAS CALLES,EL DESIERTO DE SONORA,RURAL,71,8,31.825278,-112.757778
26DPR0475R,NICOLAS BRAVO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,40,2,0,CALLE PASEO DE LA PRESA,0,CALLE PASEO DE LOS MAESTROS,CALLE PASEO DE LOS MAESTROS,NINGUNO,CAJEME,KILOMETRO NUEVE (EL PUEBLITO),RURAL,103,3,27.652778,-109.898611
26DPR0476Q,HEROE DE NACOZARI,MATUTINO,BÁSICA,PRIMARIA,GENERAL,160,7,1,NINGUNO NINGUNO,0,CALLE LIMA,CALLE LIMA,NINGUNO,IMURIS,LA ESTACION,RURAL,33,13,30.777222,-110.872222
26DPR0477P,JOSEFA ORTIZ DE DOMINGUEZ,MATUTINO,BÁSICA,PRIMARIA,GENERAL,143,7,1,CALLE SONORA,0,CALLE BENITO JUAREZ GARCIA,CALLE BENITO JUAREZ GARCIA,NINGUNO,IMURIS,CAMPO CARRETERO,RURAL,33,13,30.771389,-110.853056
